LocalDateTable_96d7b74f-5a88-4a4e-9223-da2f34fda5d5[Ano];LocalDateTable_96d7b74f-5a88-4a4e-9223-da2f34fda5d5[Mês];LocalDateTable_96d7b74f-5a88-4a4e-9223-da2f34fda5d5[MonthNo];LocalDateTable_96d7b74f-5a88-4a4e-9223-da2f34fda5d5[Dia];[Quantidade_Distinta_de_Pedidos]
2023;agosto;8;9;105
2023;agosto;8;10;11
2023;agosto;8;11;110
2023;agosto;8;14;94
2023;agosto;8;15;75
2023;agosto;8;16;104
2023;agosto;8;17;10
2023;agosto;8;18;105
2023;agosto;8;21;123
2023;agosto;8;22;185
2023;agosto;8;23;16
2023;agosto;8;24;23
2023;agosto;8;25;98
2023;agosto;8;28;73
2023;agosto;8;29;114
2023;agosto;8;30;115
2023;agosto;8;31;20
2023;setembro;9;1;166
2023;setembro;9;4;83
2023;setembro;9;5;91
2023;setembro;9;6;112
2023;setembro;9;7;2
2023;setembro;9;8;108
2023;setembro;9;11;68
2023;setembro;9;12;105
2023;setembro;9;13;123
2023;setembro;9;14;10
2023;setembro;9;15;173
2023;setembro;9;18;149
2023;setembro;9;19;114
2023;setembro;9;21;12
2023;setembro;9;22;100
2023;setembro;9;25;161
2023;setembro;9;26;149
2023;setembro;9;27;44
2023;setembro;9;28;25
2023;setembro;9;29;106
2023;outubro;10;2;62
2023;outubro;10;3;105
2023;outubro;10;4;95
2023;outubro;10;5;20
2023;outubro;10;6;107
2023;outubro;10;9;119
2023;outubro;10;10;96
2023;outubro;10;11;84
2023;outubro;10;13;101
2023;outubro;10;16;116
2023;outubro;10;17;105
2023;outubro;10;18;116
2023;outubro;10;19;9
2023;outubro;10;20;105
2023;outubro;10;23;82
2023;outubro;10;24;102
2023;outubro;10;25;116
2023;outubro;10;26;16
2023;outubro;10;27;123
2023;outubro;10;29;4
2023;outubro;10;30;131
2023;outubro;10;31;79
2023;novembro;11;1;70
2023;novembro;11;3;154
2023;novembro;11;6;71
2023;novembro;11;7;104
